"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"20447","2023-09-10 18:19:33.525253","14.0.0.120","37718","10.0.0.112","8080","TCP","66","37718  >  8080 [ACK] Seq=1071 Ack=11641 Win=64128 Len=0 TSval=429632022 TSecr=3538270974"
"20448","2023-09-10 18:19:33.525256","10.0.0.112","8080","14.0.0.120","37674","TCP","66","8080  >  37674 [FIN, ACK] Seq=8553 Ack=576 Win=65024 Len=0 TSval=3538270974 TSecr=429632021"
"20449","2023-09-10 18:19:33.525351","14.0.0.120","37674","10.0.0.112","8080","TCP","66","37674  >  8080 [ACK] Seq=576 Ack=8554 Win=64128 Len=0 TSval=429632022 TSecr=3538270974"
"20450","2023-09-10 18:19:33.525445","10.0.0.112","8080","14.0.0.120","37684","TCP","66","8080  >  37684 [FIN, ACK] Seq=32168 Ack=1322 Win=64768 Len=0 TSval=3538270974 TSecr=429632021"
"20451","2023-09-10 18:19:33.525545","14.0.0.120","37684","10.0.0.112","8080","TCP","66","37684  >  8080 [ACK] Seq=1322 Ack=32169 Win=64128 Len=0 TSval=429632022 TSecr=3538270974"
"20452","2023-09-10 18:19:33.525644","10.0.0.112","8080","14.0.0.120","37700","TCP","66","8080  >  37700 [FIN, ACK] Seq=12813 Ack=1149 Win=64896 Len=0 TSval=3538270975 TSecr=429632021"
"20453","2023-09-10 18:19:33.525815","14.0.0.120","37700","10.0.0.112","8080","TCP","66","37700  >  8080 [ACK] Seq=1149 Ack=12814 Win=64128 Len=0 TSval=429632022 TSecr=3538270975"
"20454","2023-09-10 18:19:33.526034","10.0.0.112","8080","14.0.0.120","37662","TCP","66","8080  >  37662 [FIN, ACK] Seq=8426 Ack=657 Win=64896 Len=0 TSval=3538270975 TSecr=429632021"
"20455","2023-09-10 18:19:33.526039","14.0.0.120","37662","10.0.0.112","8080","TCP","66","37662  >  8080 [ACK] Seq=657 Ack=8427 Win=64128 Len=0 TSval=429632023 TSecr=3538270975"
"20456","2023-09-10 18:19:33.526496","10.0.0.112","8080","14.0.0.120","37712","TCP","66","8080  >  37712 [FIN, ACK] Seq=10239 Ack=650 Win=65024 Len=0 TSval=3538270975 TSecr=429632021"
"20457","2023-09-10 18:19:33.526501","14.0.0.120","37712","10.0.0.112","8080","TCP","66","37712  >  8080 [ACK] Seq=650 Ack=10240 Win=64128 Len=0 TSval=429632023 TSecr=3538270975"
"20458","2023-09-10 18:19:39.594168","10.0.0.112","8080","14.0.0.120","37148","TCP","66","8080  >  37148 [FIN, ACK] Seq=24141 Ack=1222 Win=64128 Len=0 TSval=3538277043 TSecr=429618084"
"20459","2023-09-10 18:19:39.594395","14.0.0.120","37148","10.0.0.112","8080","TCP","66","37148  >  8080 [FIN, ACK] Seq=1222 Ack=24142 Win=64128 Len=0 TSval=429638091 TSecr=3538277043"
"20460","2023-09-10 18:19:39.594502","10.0.0.112","8080","14.0.0.120","37148","TCP","66","8080  >  37148 [ACK] Seq=24142 Ack=1223 Win=64128 Len=0 TSval=3538277043 TSecr=429638091"
"20461","2023-09-10 18:19:39.606371","10.0.0.112","8080","14.0.0.120","37190","TCP","66","8080  >  37190 [FIN, ACK] Seq=940 Ack=307 Win=64896 Len=0 TSval=3538277055 TSecr=429618096"
"20462","2023-09-10 18:19:39.606611","14.0.0.120","37190","10.0.0.112","8080","TCP","66","37190  >  8080 [FIN, ACK] Seq=307 Ack=941 Win=64128 Len=0 TSval=429638103 TSecr=3538277055"
"20463","2023-09-10 18:19:39.606745","10.0.0.112","8080","14.0.0.120","37190","TCP","66","8080  >  37190 [ACK] Seq=941 Ack=308 Win=64896 Len=0 TSval=3538277056 TSecr=429638103"
"20464","2023-09-10 18:19:39.620015","10.0.0.112","8080","14.0.0.120","37178","TCP","66","8080  >  37178 [FIN, ACK] Seq=3332 Ack=306 Win=64896 Len=0 TSval=3538277069 TSecr=429618096"
"20465","2023-09-10 18:19:39.620238","14.0.0.120","37178","10.0.0.112","8080","TCP","66","37178  >  8080 [FIN, ACK] Seq=306 Ack=3333 Win=64128 Len=0 TSval=429638117 TSecr=3538277069"
"20466","2023-09-10 18:19:39.620443","10.0.0.112","8080","14.0.0.120","37178","TCP","66","8080  >  37178 [ACK] Seq=3333 Ack=307 Win=64896 Len=0 TSval=3538277069 TSecr=429638117"
"20467","2023-09-10 18:19:39.620671","10.0.0.112","8080","14.0.0.120","37204","TCP","66","8080  >  37204 [FIN, ACK] Seq=2147 Ack=307 Win=64896 Len=0 TSval=3538277070 TSecr=429618100"
"20468","2023-09-10 18:19:39.620838","14.0.0.120","37204","10.0.0.112","8080","TCP","66","37204  >  8080 [FIN, ACK] Seq=307 Ack=2148 Win=64128 Len=0 TSval=429638118 TSecr=3538277070"
